SQL Job,User,,,,,
CommandLog Cleanup,sa,,,,,
DBA - ElevatedPermissionsCleanup,sa,,,,,
DBAdminPerformanceLogMon,sa,,,,,
DatabaseBackup - USER_DATABASES - FULL,sa,,,,,
Update WipMaster JobDeliveryDate,sa,,,,,
Backup Databases MIRROR,sa,,,,,
DatabaseIntegrityCheck - All Databases,sa,,,,,
sp_purge_jobhistory,sa,,,,,
Update InvWhControl NextNumber for Company 100,sa,,,,,
Backup Databases FULL (daily),sa,,,,,
Backup Databases LOG,sa,,,,,
Maintenance - Cycle Error Log,sa,,,,,
sp_delete_backuphistory,sa,,,,,
syspolicy_purge_history,sa,,,,,
Backup Databases MIRROR (monthly),sa,,,,,
Output File Cleanup,sa,,,,,
DatabaseIntegrityCheck - USER_DATABASES,sa,,,,,
DatabaseBackup - USER_DATABASES - LOG,sa,,,,,
Update SYSPRO ISAM Reference,SUMMERCLASSICS\SqlAgentUser,,,,,
Syspro Maintenance,SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Upload - Summer Classics Contract (Customers),SUMMERCLASSICS\SqlAgentUser,,,,,
Datascope Create Track IDs,SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Download - Summer Classics Wholesale (User),SUMMERCLASSICS\SqlAgentUser,,,,,
eCat PreUpload Updating Fabric Image,SUMMERCLASSICS\SqlAgentUser,,,,,
Update Container Tracking,SUMMERCLASSICS\SqlAgentUser,,,,,
Check for Large Transaction Logs,SUMMERCLASSICS\SqlAgentUser,,,,,
IndexOptimize - USER_DATABASES,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - Casaza - Gabby - Inventory,SUMMERCLASSICS\SqlAgentUser,,,,,
Notify Shipping Exceptions,SUMMERCLASSICS\SqlAgentUser,,,,,
Syspro Maintenance Constant,SUMMERCLASSICS\SqlAgentUser,,,,,
Audit Logging - SysproCompany100 (05 Minute),SUMMERCLASSICS\SqlAgentUser,,,,,
B2C Website - Tracking,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - Website - Gabby - Inventory - SFTP,SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Download - All Sites (Order),SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Upload - Summer Classics Retail (Customers),SUMMERCLASSICS\SqlAgentUser,,,,,
Update Available / Order Allocation and eCat Invoice / Order / Sentinel (1230),SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - Transport - Mode - All (Load Tender) 15 Minutes,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - Accounting - All Factors - Invoice (Production),SUMMERCLASSICS\SqlAgentUser,,,,,
OutboundVolume Job for NULLS,SUMMERCLASSICS\SqlAgentUser,,,,,
Audit Logging - Purge Archive,SUMMERCLASSICS\SqlAgentUser,,,,,
Orders Stuck in Mode,SUMMERCLASSICS\SqlAgentUser,,,,,
IndexOptimize - Daily,SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Upload - Summer Classics Wholesale (Options, Option Groups, Products, Matrix Options,Stories, Kit Items),SUMMERCLASSICS\SqlAgentUser
eCat Upload - Gabby (Territories),SUMMERCLASSICS\SqlAgentUser,,,,,
Check for Database Backup Setting,SUMMERCLASSICS\SqlAgentUser,,,,,
B2C Website - Order Import,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - Meridien - GWC - Inventory,SUMMERCLASSICS\SqlAgentUser,,,,,
Expired subscription clean up,SUMMERCLASSICS\SqlAgentUser,,,,,
Update Customer Service Rep Reference,SUMMERCLASSICS\SqlAgentUser,,,,,
Update Available Inventory for Company 100,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - Website - SCS - Inventory - SFTP,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - Transport - Mode - All (Load Plan Mode Picking Slip) 5 minutes,SUMMERCLASSICS\SqlAgentUser,,,,,
EnterWorks PIM Import Daily,SUMMERCLASSICS\SqlAgentUser,,,,,
Restart SYSPRO WCF Service,SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Download - Summer Classics Contract (Order),SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Upload - Summer Classics Contract (Territories),SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Upload - Gabby (Customers),SUMMERCLASSICS\SqlAgentUser,,,,,
ETD-MS Eraser and CushionStatusUpdate,SUMMERCLASSICS\SqlAgentUser,,,,,
TEST JOB,SUMMERCLASSICS\SqlAgentUser,,,,,
SYSPRO Barcom Import,SUMMERCLASSICS\SqlAgentUser,,,,,
B2C Website - Inventory Data Feeds,SUMMERCLASSICS\SqlAgentUser,,,,,
Update Stock Code Combined Table,SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Upload - Summer Classics Contract (Inventory),SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Upload - Summer Classics Contract (Options Option Groups Products Matrix Options Stories Kit Items),SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Upload - Summer Classics Wholesale (Territories),SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - Bellacor - SCW - Inventory,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - Wayfair - SCW - Inventory Frame Cush Combined,SUMMERCLASSICS\SqlAgentUser,,,,,
Integration - 2Ship - Archive,SUMMERCLASSICS\SqlAgentUser,,,,,
Purge Log - SysproDocument,SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Upload - Summer Classics Retail (Images),SUMMERCLASSICS\SqlAgentUser,,,,,
SD - Archive Stage Records,SUMMERCLASSICS\SqlAgentUser,,,,,
Gnosis,SUMMERCLASSICS\SqlAgentUser,,,,,
